Date,rain
1967-07,61.0
1967-08,4.0
1967-09,34.0
1967-10,30.0
1967-11,63.4
1967-12,6.0
1968-01,24.0
1968-02,23.5
1968-03,0.0
1968-04,0.0
1968-05,0.0
1968-06,0.0
1968-07,2.0
1968-08,39.0
1968-09,28.0
1968-10,17.0
1968-11,9.0
1968-12,71.0
1969-01,81.0
1969-02,62.0
1969-03,17.0
1969-04,5.0
1969-05,0.0
1969-06,0.0
1969-07,0.0
1969-08,64.0
1969-09,64.5
1969-10,98.0
1969-11,137.0
1969-12,66.0
1970-01,123.5
1970-02,28.0
1970-03,0.0
1970-04,0.0
1970-05,0.0
1970-06,0.0
1970-07,0.0
1970-08,18.0
1970-09,15.0
1970-10,49.0
1970-11,39.0
1970-12,56.0
1971-01,20.0
1971-02,74.0
1971-03,0.0
1971-04,0.0
1971-05,0.0
1971-06,0.0
1971-07,0.0
1971-08,0.0
1971-09,84.0
1971-10,14.0
1971-11,30.0
1971-12,24.0
1972-01,76.5
1972-02,18.0
1972-03,0.0
1972-04,0.0
1972-05,0.0
1972-06,0.0
1972-07,0.0
1972-08,51.0
1972-09,41.0
1972-10,47.0
1972-11,100.0
1972-12,46.5
1973-01,119.0
1973-02,14.0
1973-03,6.5
1973-04,0.0
1973-05,3.0
1973-06,0.0
1973-07,0.0
1973-08,25.0
1973-09,43.0
1973-10,34.0
1973-11,41.0
1973-12,76.0
1974-01,42.0
1974-02,0.0
1974-03,0.0
1974-04,5.0
1974-05,18.5
1974-06,0.0
1974-07,0.0
1974-08,0.0
1974-09,0.0
1974-10,86.0
1974-11,68.0
1974-12,99.0
1975-01,40.0
1975-02,4.5
1975-03,0.0
1975-04,0.0
1975-05,0.0
1975-06,0.0
1975-07,4.0
1975-08,0.0
1975-09,63.0
1975-10,44.0
1975-11,19.0
1975-12,49.0
1976-01,37.0
1976-02,85.0
1976-03,0.0
1976-04,0.0
1976-05,0.0
1976-06,0.0
1976-07,0.0
1976-08,36.0
1976-09,68.0
1976-10,111.0
1976-11,97.0
1976-12,77.0
1977-01,91.0
1977-02,21.0
1977-03,5.0
1977-04,0.0
1977-05,16.0
1977-06,0.0
1977-07,0.0
1977-08,102.0
1977-09,44.0
1977-10,76.0
1977-11,20.0
1977-12,35.0
1978-01,118.0
1978-02,20.0
1978-03,6.0
1978-04,0.0
1978-05,0.0
1978-06,0.0
1978-07,29.0
1978-08,114.0
1978-09,88.0
1978-10,33.0
1978-11,17.0
1978-12,78.0
1979-01,0.0
1979-02,6.0
1979-03,0.0
1979-04,0.0
1979-05,0.0
1979-06,0.0
1979-07,0.0
1979-08,40.0
1979-09,104.0
1979-10,53.0
1979-11,57.0
1979-12,7.0
1980-01,71.5
1980-02,63.0
1980-03,0.0
1980-04,0.0
1980-05,0.0
1980-06,0.0
1980-07,0.0
1980-08,0.0
1980-09,44.0
1980-10,46.0
1980-11,80.0
1980-12,83.0
1981-01,58.0
1981-02,60.0
1981-03,0.0
1981-04,0.0
1981-05,0.0
1981-06,0.0
1981-07,0.0
1981-08,19.0
1981-09,18.0
1981-10,92.0
1981-11,41.0
1981-12,18.0
1982-01,71.8
1982-02,8.0
1982-03,0.0
1982-04,0.0
1982-05,0.0
1982-06,0.0
1982-07,0.0
1982-08,27.0
1982-09,51.0
1982-10,49.2
1982-11,36.0
1982-12,94.0
1983-01,43.0
1983-02,22.0
1983-03,13.0
1983-04,0.0
