Date,rain
1967-07,
1967-08,
1967-09,
1967-10,
1967-11,
1967-12,
1968-01,
1968-02,
1968-03,
1968-04,
1968-05,
1968-06,
1968-07,
1968-08,
1968-09,
1968-10,
1968-11,
1968-12,
1969-01,
1969-02,
1969-03,
1969-04,
1969-05,
1969-06,
1969-07,
1969-08,
1969-09,
1969-10,
1969-11,
1969-12,
1970-01,
1970-02,
1970-03,
1970-04,
1970-05,
1970-06,
1970-07,
1970-08,
1970-09,
1970-10,
1970-11,
1970-12,
1971-01,
1971-02,
1971-03,
1971-04,
1971-05,
1971-06,
1971-07,
1971-08,
1971-09,
1971-10,
1971-11,
1971-12,
1972-01,
1972-02,
1972-03,
1972-04,
1972-05,
1972-06,
1972-07,
1972-08,
1972-09,
1972-10,
1972-11,
1972-12,
1973-01,
1973-02,
1973-03,
1973-04,
1973-05,
1973-06,
1973-07,
1973-08,
1973-09,
1973-10,
1973-11,
1973-12,
1974-01,
1974-02,
1974-03,
1974-04,
1974-05,
1974-06,
1974-07,
1974-08,
1974-09,
1974-10,
1974-11,
1974-12,
1975-01,
1975-02,
1975-03,
1975-04,
1975-05,
1975-06,
1975-07,
1975-08,
1975-09,
1975-10,
1975-11,
1975-12,
1976-01,
1976-02,
1976-03,
1976-04,
1976-05,
1976-06,
1976-07,
1976-08,
1976-09,
1976-10,
1976-11,
1976-12,
1977-01,
1977-02,
1977-03,
1977-04,
1977-05,
1977-06,
1977-07,
1977-08,
1977-09,
1977-10,
1977-11,
1977-12,
1978-01,
1978-02,
1978-03,
1978-04,
1978-05,
1978-06,
1978-07,
1978-08,
1978-09,
1978-10,
1978-11,
1978-12,
1979-01,
1979-02,
1979-03,
1979-04,
1979-05,
1979-06,
1979-07,
1979-08,
1979-09,
1979-10,
1979-11,
1979-12,
1980-01,
1980-02,12.6
1980-03,20.9
1980-04,21.9
1980-05,21.9
1980-06,25.0
1980-07,15.1
1980-08,10.2
1980-09,6.8
1980-10,1.3
1980-11,2.8
1980-12,3.5
1981-01,11.6
1981-02,15.2
1981-03,20.4
1981-04,24.9
1981-05,25.3
1981-06,21.4
1981-07,17.9
1981-08,13.1
1981-09,8.1
1981-10,2.5
1981-11,2.8
1981-12,5.7
1982-01,9.1
1982-02,14.6
1982-03,19.5
1982-04,23.9
1982-05,21.5
1982-06,19.7
1982-07,14.6
1982-08,8.9
1982-09,3.4
1982-10,6.3
1982-11,-0.3
1982-12,0.6
1983-01,8.4
1983-02,17.0
1983-03,20.9
1983-04,22.3
1983-05,24.5
1983-06,20.0
1983-07,14.5
1983-08,8.0
1983-09,1.6
1983-10,0.4
1983-11,-2.0
1983-12,2.8
1984-01,9.1
1984-02,15.6
1984-03,20.1
1984-04,23.8
1984-05,24.5
1984-06,20.8
1984-07,14.9
1984-08,12.9
1984-09,7.1
1984-10,2.0
1984-11,1.4
1984-12,5.8
1985-01,11.1
1985-02,14.2
1985-03,20.4
1985-04,23.4
1985-05,23.9
1985-06,21.5
1985-07,14.1
1985-08,9.6
1985-09,7.0
1985-10,1.0
1985-11,0.2
1985-12,3.2
1986-01,10.9
1986-02,16.8
1986-03,21.2
1986-04,24.5
1986-05,22.6
1986-06,19.7
1986-07,14.9
1986-08,10.3
1986-09,6.1
1986-10,1.8
1986-11,2.7
1986-12,5.3
1987-01,9.7
1987-02,13.9
1987-03,19.6
1987-04,23.5
1987-05,22.0
1987-06,18.8
1987-07,16.8
1987-08,10.3
1987-09,2.6
1987-10,0.8
1987-11,4.8
1987-12,6.8
1988-01,9.6
1988-02,17.0
1988-03,21.5
1988-04,23.0
1988-05,22.4
1988-06,21.8
1988-07,15.5
1988-08,9.9
1988-09,5.8
1988-10,3.5
1988-11,1.8
1988-12,5.3
1989-01,10.4
1989-02,16.6
1989-03,20.6
1989-04,22.8
1989-05,22.735714285714288
1989-06,22.67142857142857
1989-07,22.607142857142858
1989-08,22.542857142857144
1989-09,22.478571428571428
1989-10,22.414285714285715
1989-11,22.35
1989-12,22.285714285714285
1990-01,22.22142857142857
1990-02,22.157142857142855
1990-03,22.09285714285714
1990-04,22.02857142857143
1990-05,21.96428571428571
1990-06,21.9
1990-07,17.1
1990-08,9.6
1990-09,6.1
1990-10,2.0
1990-11,2.1
1990-12,6.1
1991-01,9.9
1991-02,17.3
1991-03,22.5
1991-04,24.0
1991-05,23.5
1991-06,21.9
1991-07,17.2
1991-08,16.0
1991-09,11.6
1991-10,1.1
1991-11,0.6
1991-12,4.6
1992-01,10.9
1992-02,15.7
1992-03,21.0
1992-04,24.1
1992-05,24.0
1992-06,22.0
1992-07,15.9
1992-08,11.9
1992-09,6.1
1992-10,0.1
1992-11,-0.1
1992-12,4.6
1993-01,10.3
1993-02,15.4
1993-03,19.1
1993-04,23.4
1993-05,21.5
1993-06,18.0
1993-07,15.3
1993-08,11.9
1993-09,6.8
1993-10,1.5
1993-11,3.0
1993-12,7.2
1994-01,11.6
1994-02,14.6
1994-03,19.8
1994-04,21.9
1994-05,21.8
1994-06,19.8
1994-07,14.6
1994-08,12.3
1994-09,8.6
1994-10,7.7
1994-11,7.9
1994-12,8.1
1995-01,12.8
1995-02,16.6
1995-03,20.6
1995-04,23.1
1995-05,23.9
1995-06,19.5
1995-07,14.9
1995-08,11.6
1995-09,5.6
1995-10,3.7
1995-11,3.9
1995-12,5.6
1996-01,11.6
1996-02,12.3
1996-03,16.7
1996-04,22.3
1996-05,21.5
1996-06,20.1
1996-07,13.8
1996-08,11.4
1996-09,4.2
1996-10,1.0
1996-11,1.9
1996-12,4.6
1997-01,9.7
1997-02,16.3
1997-03,19.9
1997-04,21.5
1997-05,21.3
1997-06,20.1
1997-07,15.4
1997-08,10.3
1997-09,7.2
1997-10,5.4
1997-11,2.1
1997-12,6.6
1998-01,9.4
1998-02,16.0
1998-03,20.4
1998-04,23.0
1998-05,23.2
1998-06,20.1
1998-07,16.4
1998-08,10.2
1998-09,5.4
1998-10,0.1
1998-11,3.8
1998-12,6.8
1999-01,14.6
1999-02,16.1
1999-03,20.8
1999-04,24.0
1999-05,22.1
1999-06,20.8
1999-07,15.9
1999-08,11.1
1999-09,9.2
1999-10,6.3
1999-11,4.6
1999-12,7.0
2000-01,11.8
2000-02,16.5
2000-03,20.3
2000-04,23.0
2000-05,22.2
2000-06,21.1
2000-07,15.9
2000-08,10.6
2000-09,6.5
2000-10,4.9
2000-11,2.3
2000-12,6.4
2001-01,13.6
2001-02,17.1
2001-03,20.0
2001-04,23.1
2001-05,22.0
2001-06,20.8
2001-07,14.6
2001-08,9.0
2001-09,5.2
2001-10,4.8
2001-11,2.8
2001-12,8.9
2002-01,14.4
2002-02,16.9
2002-03,20.2
2002-04,23.9
2002-05,21.8
2002-06,20.0
2002-07,15.3
2002-08,10.4
2002-09,6.7
2002-10,5.1
2002-11,3.6
2002-12,9.3
2003-01,11.6
2003-02,15.9
2003-03,20.0
2003-04,22.5
2003-05,22.0
2003-06,20.4
2003-07,15.6
2003-08,10.7
2003-09,6.1
2003-10,3.8
2003-11,3.3
2003-12,7.8
2004-01,11.7
2004-02,14.3
2004-03,18.5
2004-04,23.3
2004-05,21.9
2004-06,18.5
2004-07,14.3
2004-08,9.2
2004-09,4.8
2004-10,4.2
2004-11,3.8
2004-12,9.3
2005-01,10.6
2005-02,13.9
2005-03,18.1
2005-04,21.5
2005-05,22.5
2005-06,19.3
2005-07,14.4
2005-08,9.9
2005-09,3.7
2005-10,-1.7
2005-11,-0.6
2005-12,7.2
2006-01,10.9
2006-02,15.6
2006-03,19.6
2006-04,25.4
2006-05,23.9
2006-06,21.5
2006-07,16.8
2006-08,9.5
2006-09,8.6
2006-10,-0.4
2006-11,4.5
2006-12,7.9
2007-01,11.5
2007-02,16.0
2007-03,19.9
2007-04,24.5
2007-05,23.4
2007-06,19.6
2007-07,16.3
2007-08,10.6
2007-09,1.4
2007-10,-3.8
2007-11,0.6
2007-12,6.3
2008-01,9.4
2008-02,15.6
2008-03,20.3
2008-04,23.7
2008-05,21.9
2008-06,19.9
2008-07,13.2
2008-08,10.7
2008-09,4.9
2008-10,-2.0
2008-11,1.1
2008-12,8.0
2009-01,12.3
2009-02,15.3
2009-03,20.8
2009-04,24.0
2009-05,22.0
2009-06,20.8
2009-07,16.5
2009-08,9.5
2009-09,3.5
2009-10,2.2
2009-11,3.0
