Date,rain
1966-07,0.0
1966-08,72.5
1966-09,5.0
1966-10,37.0
1966-11,58.5
1966-12,17.0
1967-01,26.0
1967-02,10.0
1967-03,1.0
1967-04,0.0
1967-05,0.0
1967-06,0.0
1967-07,0.0
1967-08,28.0
1967-09,25.5
1967-10,50.0
1967-11,123.0
1967-12,13.0
1968-01,32.0
1968-02,112.0
1968-03,0.0
1968-04,0.0
1968-05,0.0
1968-06,0.0
1968-07,0.0
1968-08,26.0
1968-09,60.0
1968-10,27.0
1968-11,79.0
1968-12,70.0
1969-01,74.5
1969-02,76.5
1969-03,10.4
1969-04,0.0
1969-05,0.0
1969-06,0.0
1969-07,0.0
1969-08,91.5
1969-09,65.9
1969-10,45.0
1969-11,70.5
1969-12,91.9
1970-01,105.0
1970-02,24.0
1970-03,0.0
1970-04,0.0
1970-05,0.0
1970-06,7.0
1970-07,0.0
1970-08,13.0
1970-09,9.0
1970-10,22.0
1970-11,36.0
1970-12,26.0
1971-01,10.0
1971-02,68.5
1971-03,0.0
1971-04,0.0
1971-05,0.0
1971-06,0.0
1971-07,4.566613544332377
1971-08,3.368222521069236
1971-09,11.605534266976541
1971-10,40.2764528453987
1971-11,32.80164149757416
1971-12,50.12117909672407
1972-01,32.994487707014656
1972-02,63.45899279934454
1972-03,31.023601061451977
1972-04,29.090464834572508
1972-05,10.612137175748751
1972-06,8.792190066571665
1972-07,0.0
1972-08,22.0
1972-09,69.2
1972-10,32.5
1972-11,61.0
1972-12,27.0
1973-01,80.5
1973-02,11.4
1973-03,14.2
1973-04,0.0
1973-05,0.0
1973-06,0.0
1973-07,0.0
1973-08,18.4
1973-09,24.7
1973-10,17.0
1973-11,63.4
1973-12,47.0
1974-01,28.3
1974-02,0.5
1974-03,0.0
1974-04,3.8
1974-05,0.2
1974-06,0.0
1974-07,0.0
1974-08,2.6
1974-09,0.0
1974-10,36.1
1974-11,16.5
1974-12,35.7
1975-01,16.7
1975-02,0.0
1975-03,0.0
1975-04,3.1
1975-05,0.0
1975-06,0.0
1975-07,0.0
1975-08,0.0
1975-09,76.6
1975-10,21.4
1975-11,26.0
1975-12,23.6
1976-01,22.1
1976-02,34.0
1976-03,3.0
1976-04,0.0
1976-05,3.2
1976-06,0.0
1976-07,0.0
1976-08,25.3
1976-09,38.2
1976-10,86.1
1976-11,60.2
1976-12,30.5
1977-01,11.4
1977-02,5.9
1977-03,2.5
1977-04,0.0
1977-05,0.0
1977-06,0.0
1977-07,0.0
1977-08,60.8
1977-09,14.7
1977-10,28.1
1977-11,19.1
1977-12,13.4
1978-01,57.2
1978-02,16.8
1978-03,4.7
1978-04,0.0
1978-05,0.0
1978-06,0.0
1978-07,37.4
1978-08,81.2
1978-09,61.0
1978-10,11.5
1978-11,23.2
1978-12,55.7
1979-01,3.3
1979-02,9.6
1979-03,0.0
1979-04,0.0
1979-05,0.0
1979-06,0.0
1979-07,0.0
1979-08,0.0
1979-09,57.7
1979-10,28.6
1979-11,13.4
1979-12,8.8
1980-01,0.5
1980-02,12.8
1980-03,0.0
1980-04,0.0
1980-05,0.0
1980-06,0.0
1980-07,0.0
1980-08,0.0
1980-09,26.5
1980-10,29.6
1980-11,54.0
1980-12,21.164365880706242
1981-01,44.4
1981-02,0.0
1981-03,0.0
1981-04,0.0
1981-05,0.0
1981-06,0.0
1981-07,0.0
1981-08,2.3
1981-09,2.1
1981-10,38.8
1981-11,28.0
1981-12,18.0
1982-01,25.0
1982-02,8.4
1982-03,0.0
1982-04,0.0
1982-05,0.0
1982-06,0.0
1982-07,1.2
1982-08,12.1
1982-09,11.3
1982-10,0.0
1982-11,0.0
1982-12,0.0
1983-01,37.2
1983-02,15.2
1983-03,5.7
1983-04,0.0
1983-05,0.0
1983-06,0.0
1983-07,0.0
1983-08,37.8
1983-09,12.3
1983-10,53.4
1983-11,5.7
1983-12,18.7
1984-01,20.6
1984-02,14.4
1984-03,1.4
1984-04,0.0
1984-05,0.0
1984-06,0.0
1984-07,0.0
1984-08,2.4
1984-09,23.1
1984-10,28.4
1984-11,8.6
1984-12,63.9
1985-01,36.6
1985-02,30.0
1985-03,0.0
1985-04,0.0
1985-05,0.0
1985-06,0.0
1985-07,6.4
1985-08,29.0
1985-09,16.7
1985-10,8.5
1985-11,19.8
1985-12,12.5
1986-01,15.0
1986-02,8.2
1986-03,0.9
1986-04,0.0
1986-05,0.0
1986-06,0.0
1986-07,0.0
1986-08,21.0
1986-09,75.8
1986-10,5.2
1986-11,25.5
1986-12,41.5
1987-01,38.3
1987-02,62.1
1987-03,0.0
1987-04,0.0
1987-05,0.0
1987-06,0.0
1987-07,0.0
1987-08,70.8
1987-09,98.0
1987-10,24.9
1987-11,10.6
1987-12,61.5
1988-01,17.3
1988-02,15.4
1988-03,0.0
1988-04,0.0
1988-05,15.0
1988-06,0.0
