Date,rain
1966-07,
1966-08,
1966-09,
1966-10,
1966-11,
1966-12,
1967-01,
1967-02,
1967-03,
1967-04,
1967-05,
1967-06,
1967-07,
1967-08,
1967-09,
1967-10,
1967-11,
1967-12,
1968-01,
1968-02,
1968-03,
1968-04,
1968-05,
1968-06,
1968-07,14.9
1968-08,8.2
1968-09,1.6
1968-10,0.0
1968-11,0.0
1968-12,0.0
1969-01,4.3
1969-02,11.8
1969-03,18.4
1969-04,23.4
1969-05,23.4
1969-06,18.8
1969-07,13.6
1969-08,7.7
1969-09,3.0
1969-10,0.0
1969-11,0.0
1969-12,3.8
1970-01,7.3
1970-02,14.1
1970-03,18.8
1970-04,23.0
1970-05,22.5
1970-06,16.2
1970-07,13.1
1970-08,8.4
1970-09,3.2
1970-10,0.9
1970-11,0.0
1970-12,4.3
1971-01,7.7
1971-02,11.1
1971-03,22.3
1971-04,23.3
1971-05,21.5
1971-06,20.3
1971-07,14.809531232651604
1971-08,8.94865666170825
1971-09,3.259627333905783
1971-10,0.0
1971-11,0.0
1971-12,2.3137678591104054
1972-01,5.439139631326029
1972-02,11.500797578408555
1972-03,19.340159049286086
1972-04,22.732329143631254
1972-05,22.40567066813656
1972-06,19.006916051302152
1972-07,14.2
1972-08,8.7
1972-09,3.0
1972-10,0.0
1972-11,0.0
1972-12,0.0
1973-01,7.9
1973-02,12.3
1973-03,19.3
1973-04,24.8
1973-05,24.1
1973-06,20.7
1973-07,16.5
1973-08,9.1
1973-09,1.5
1973-10,0.0
1973-11,0.0
1973-12,4.5
1974-01,9.2
1974-02,15.6
1974-03,21.3
1974-04,27.0
1974-05,25.9
1974-06,23.1
1974-07,17.4
1974-08,9.9
1974-09,4.0
1974-10,0.0
1974-11,0.0
1974-12,1.1
1975-01,8.7
1975-02,14.8
1975-03,21.5
1975-04,24.7
1975-05,25.5
1975-06,21.1
1975-07,13.3
1975-08,9.3
1975-09,0.0
1975-10,0.0
1975-11,0.0
1975-12,1.8
1976-01,8.7
1976-02,12.6
1976-03,20.1
1976-04,25.5
1976-05,25.9
1976-06,20.9
1976-07,14.2
1976-08,6.8
1976-09,0.2
1976-10,0.0
1976-11,0.0
1976-12,0.0
1977-01,7.3
1977-02,13.8
1977-03,20.9
1977-04,26.6
1977-05,26.0
1977-06,22.5
1977-07,16.6
1977-08,8.9
1977-09,5.8
1977-10,0.0
1977-11,0.0
1977-12,8.4
1978-01,11.3
1978-02,16.9
1978-03,22.0
1978-04,28.5
1978-05,28.7
1978-06,26.0
1978-07,20.3
1978-08,11.4
1978-09,8.4
1978-10,0.0
1978-11,0.8
1978-12,3.3
1979-01,10.1
1979-02,14.4
1979-03,4.8
1979-04,23.4
1979-05,24.6
1979-06,22.6
1979-07,16.4
1979-08,9.9
1979-09,4.2
1979-10,2.8
1979-11,0.0
1979-12,4.4
1980-01,11.4
1980-02,13.1
1980-03,20.0
1980-04,25.1
1980-05,26.5
1980-06,21.9
1980-07,16.5
1980-08,10.8
1980-09,2.4
1980-10,0.0
1980-11,0.0
1980-12,0.8
1981-01,10.6
1981-02,16.9
1981-03,23.9
1981-04,26.4
1981-05,27.6
1981-06,23.6
1981-07,18.1
1981-08,11.1
1981-09,5.4
1981-10,0.0
1981-11,1.6
1981-12,6.3
1982-01,6.3
1982-02,16.7
1982-03,21.9
1982-04,26.5
1982-05,26.0
1982-06,23.5
1982-07,15.2
1982-08,11.4
1982-09,6.1
1982-10,2.5
1982-11,0.0
1982-12,1.0
1983-01,9.8
1983-02,17.5
1983-03,22.5
1983-04,24.8
1983-05,27.5
1983-06,22.0
1983-07,14.6
1983-08,7.4
1983-09,0.7
