Date,rain
1975-07,12.0
1975-08,8.1
1975-09,0.0
1975-10,0.0
1975-11,0.0
1975-12,1.3
1976-01,9.9
1976-02,13.4
1976-03,17.1
1976-04,18.3
1976-05,19.4
1976-06,19.6
1976-07,14.6
1976-08,6.1
1976-09,1.3
1976-10,0.0
1976-11,0.0
1976-12,0.0
1977-01,5.4
1977-02,11.8
1977-03,17.1
1977-04,21.1
1977-05,22.2
1977-06,18.1
1977-07,14.1
1977-08,7.4
1977-09,3.6
1977-10,0.0
1977-11,0.0
1977-12,4.2
1978-01,8.4
1978-02,12.9
1978-03,17.8
1978-04,22.5
1978-05,26.5
1978-06,18.8
1978-07,14.3
1978-08,6.7
1978-09,7.7
1978-10,9.2
1978-11,8.5
1978-12,6.3
1979-01,8.5
1979-02,11.8
1979-03,15.4
1979-04,19.4
1979-05,20.4
1979-06,17.7
1979-07,13.5
1979-08,8.8
1979-09,3.8
1979-10,0.0
1979-11,0.0
1979-12,0.0
1980-01,10.6
1980-02,11.7
1980-03,16.6
1980-04,21.2
1980-05,19.9
1980-06,18.2
1980-07,10.2
1980-08,8.6
1980-09,0.0
1980-10,0.0
1980-11,0.0
1980-12,5.8
1981-01,7.6
1981-02,13.4
1981-03,17.6
1981-04,19.1
1981-05,20.0
1981-06,18.0
1981-07,13.1
1981-08,11.6
1981-09,2.9
1981-10,0.0
1981-11,0.0
1981-12,3.4
1982-01,11.4
1982-02,12.5
1982-03,16.0
1982-04,19.6
1982-05,19.2
1982-06,17.8
1982-07,16.34163956663823
1982-08,12.208476932018115
1982-09,0.0
1982-10,0.0
1982-11,3.133521848179953
1982-12,12.503277715605032
1983-01,22.526438669344678
1983-02,23.160352394933998
1983-03,17.84250166493559
1983-04,21.07884224295219
1983-05,14.778987928086066
1983-06,6.192134351883361
1983-07,6.109149975775779
1983-08,2.1168214677704036
1983-09,15.1
1983-10,0.0
1983-11,0.0
1983-12,0.0
1984-01,6.1
1984-02,12.4
1984-03,18.0
1984-04,20.9
1984-05,23.7
1984-06,19.6
1984-07,12.1
1984-08,8.9
1984-09,4.6
1984-10,0.0
1984-11,0.0
1984-12,0.0
1985-01,8.4
1985-02,15.1
1985-03,19.0
1985-04,20.0
1985-05,22.0
1985-06,3.390808601515271
1985-07,12.1
1985-08,7.1
1985-09,2.2
1985-10,0.3
1985-11,0.8
1985-12,1.6
1986-01,9.1
1986-02,12.2
1986-03,17.1
1986-04,22.0
1986-05,20.3
1986-06,18.1
1986-07,12.7
1986-08,7.5
1986-09,1.6
1986-10,0.0
1986-11,0.0
1986-12,0.6
1987-01,7.3
1987-02,11.4
1987-03,16.1
1987-04,19.6
1987-05,20.5
1987-06,16.4
1987-07,14.9
1987-08,6.4
1987-09,0.0
1987-10,0.0
1987-11,0.0
1987-12,2.8
1988-01,7.3
1988-02,14.6
1988-03,18.4
1988-04,20.6
1988-05,20.6
1988-06,19.0
1988-07,12.9
1988-08,8.4
1988-09,2.2
1988-10,0.0
1988-11,0.0
1988-12,1.3
1989-01,8.6
1989-02,13.6
1989-03,17.6
1989-04,20.4
1989-05,21.4
1989-06,19.0
1989-07,14.1
1989-08,9.1
1989-09,3.8
1989-10,0.0
1989-11,0.0
1989-12,1.4
1990-01,7.1
1990-02,12.0
1990-03,17.5
1990-04,21.6
1990-05,21.0
1990-06,19.0
1990-07,13.3
1990-08,7.8
1990-09,0.0
1990-10,0.0
1990-11,0.0
1990-12,1.2
1991-01,6.3
1991-02,13.5
1991-03,16.8
1991-04,20.0
1991-05,21.2
1991-06,19.5
1991-07,14.2
1991-08,8.9
1991-09,4.7
1991-10,0.0
1991-11,0.0
1991-12,2.3
1992-01,9.0
1992-02,13.2
1992-03,16.6
1992-04,20.6
1992-05,23.0
1992-06,19.4
1992-07,12.9
1992-08,8.8
1992-09,1.9
1992-10,0.0
1992-11,0.0
1992-12,0.0
1993-01,4.3
1993-02,11.1
1993-03,15.9
1993-04,19.4
1993-05,18.5
1993-06,14.6
1993-07,11.4
1993-08,6.7
1993-09,2.0
1993-10,0.0
1993-11,0.0
1993-12,1.6
1994-01,6.4
1994-02,10.1
1994-03,15.4
1994-04,18.0
1994-05,18.8
1994-06,17.1
1994-07,10.9
1994-08,6.9
1994-09,3.3
1994-10,1.1
1994-11,0.0
1994-12,2.0
1995-01,7.7
1995-02,12.1
1995-03,16.4
1995-04,20.6
1995-05,22.3
1995-06,15.6
1995-07,11.1
1995-08,6.7
1995-09,0.1
1995-10,0.0
1995-11,0.3
1995-12,3.2
1996-01,7.2
1996-02,10.8
1996-03,15.1
1996-04,19.0
1996-05,20.5
1996-06,16.9
1996-07,11.3
1996-08,7.3
1996-09,0.0
1996-10,8.079797247616336
1996-11,0.0
1996-12,1.3
1997-01,5.8
1997-02,12.3
1997-03,16.5
1997-04,18.4
1997-05,18.5
1997-06,17.6
1997-07,12.3
1997-08,6.2
1997-09,2.1
1997-10,0.0
1997-11,0.0
1997-12,1.0
1998-01,4.4
1998-02,11.4
1998-03,16.3
1998-04,19.7
1998-05,21.0
1998-06,16.4
1998-07,13.2
1998-08,6.8
1998-09,0.0
1998-10,0.0
1998-11,0.0
1998-12,0.3
1999-01,8.8
1999-02,12.2
1999-03,16.3
1999-04,19.9
1999-05,19.4
1999-06,17.1
1999-07,12.6
1999-08,7.4
1999-09,5.1
1999-10,2.3
1999-11,0.0
1999-12,3.3
2000-01,7.5
2000-02,17.8
2000-03,17.0
2000-04,19.9
2000-05,19.6
2000-06,17.1
2000-07,12.9
2000-08,7.0
2000-09,1.1
2000-10,0.0
2000-11,0.0
2000-12,0.8
2001-01,8.9
2001-02,13.4
2001-03,16.8
2001-04,19.9
2001-05,18.6
2001-06,17.8
2001-07,12.2
2001-08,8.1
2001-09,0.0
2001-10,0.0
2001-11,0.0
2001-12,2.1
2002-01,8.9
2002-02,12.9
2002-03,16.6
2002-04,20.5
2002-05,18.5
2002-06,17.1
2002-07,13.3
2002-08,7.8
2002-09,0.6
2002-10,0.0
2002-11,0.0
2002-12,3.5
2003-01,6.9
2003-02,11.4
2003-03,15.6
2003-04,18.8
2003-05,19.0
2003-06,17.6
2003-07,13.4
2003-08,6.4
2003-09,0.8
2003-10,0.0
2003-11,0.0
2003-12,2.1
2004-01,7.2
2004-02,11.3
2004-03,15.6
2004-04,19.9
2004-05,20.2
2004-06,16.5
2004-07,12.9
2004-08,7.0
2004-09,2.1
2004-10,0.0
2004-11,0.0
2004-12,4.0
2005-01,6.5
2005-02,11.1
2005-03,15.5
2005-04,19.3
2005-05,21.1
2005-06,18.7
2005-07,12.8
2005-08,7.9
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,3.3
2006-01,7.3
2006-02,13.0
2006-03,16.5
2006-04,21.1
2006-05,20.5
2006-06,17.6
2006-07,14.1
2006-08,6.7
2006-09,4.1
2006-10,0.0
2006-11,0.0
2006-12,2.7
2007-01,8.1
2007-02,13.1
2007-03,16.9
2007-04,20.3
2007-05,20.9
2007-06,16.9
2007-07,13.8
2007-08,7.2
2007-09,0.0
2007-10,0.0
2007-11,0.0
2007-12,0.3
2008-01,6.9
2008-02,13.5
2008-03,17.5
2008-04,21.5
2008-05,20.2
2008-06,18.1
2008-07,13.2
2008-08,8.7
2008-09,2.8
2008-10,0.0
2008-11,0.0
2008-12,5.3
2009-01,10.2
2009-02,12.9
2009-03,17.5
2009-04,20.8
2009-05,20.5
2009-06,17.4
2009-07,13.9
2009-08,6.2
2009-09,0.0
2009-10,0.0
2009-11,0.0
2009-12,4.4
2010-01,5.1
2010-02,11.4
2010-03,17.0
2010-04,21.1
2010-05,22.2
2010-06,18.7
2010-07,13.2
2010-08,7.8
2010-09,1.5
2010-10,2.4
2010-11,1.5
2010-12,7.7
2011-01,10.7
2011-02,12.8
2011-03,17.9
2011-04,21.4
2011-05,18.9
2011-06,17.4
2011-07,14.6
2011-08,7.7
2011-09,3.7
2011-10,0.0
2011-11,0.0
2011-12,3.5
2012-01,8.1
2012-02,12.9
2012-03,18.6
2012-04,21.3
2012-05,21.0
2012-06,17.5
2012-07,12.5
2012-08,5.6
2012-09,3.3
2012-10,1.2
2012-11,0.0
2012-12,0.6
2013-01,7.6
2013-02,14.8
2013-03,18.0
2013-04,20.3
2013-05,20.7
2013-06,18.4
2013-07,13.4
2013-08,8.4
2013-09,2.9
2013-10,0.0
2013-11,1.8
2013-12,6.8
2014-01,7.9
2014-02,10.9
2014-03,17.2
2014-04,21.6
2014-05,21.9
2014-06,17.3
2014-07,13.2
2014-08,6.8
2014-09,1.5
2014-10,0.0
2014-11,0.0
2014-12,6.4
2015-01,9.1
2015-02,12.4
2015-03,18.6
2015-04,22.1
2015-05,22.0
2015-06,17.1
2015-07,12.0
2015-08,4.9
2015-09,1.6
2015-10,0.0
2015-11,3.1
2015-12,3.4
2016-01,7.6
2016-02,11.9
2016-03,17.5
2016-04,20.5
2016-05,20.9
2016-06,18.2
2016-07,14.7
2016-08,8.6
2016-09,0.0
2016-10,0.0
2016-11,0.0
2016-12,2.0
2017-01,6.9
2017-02,13.1
2017-03,18.5
2017-04,21.8
2017-05,20.1
2017-06,16.9
2017-07,14.6
2017-08,9.6
2017-09,2.6
2017-10,1.5
2017-11,0.0
2017-12,2.3
2018-01,5.8
2018-02,10.3
2018-03,15.9
2018-04,21.5
2018-05,20.5
2018-06,18.0
2018-07,14.3
2018-08,8.1
2018-09,2.9
2018-10,3.8
2018-11,3.1
2018-12,8.4
2019-01,10.0
2019-02,11.7
2019-03,17.3
2019-04,21.9
2019-05,22.0
2019-06,20.2
2019-07,14.1
2019-08,7.5
2019-09,3.5
2019-10,0.0
2019-11,0.8
2019-12,0.0
2020-01,6.9
2020-02,11.6
2020-03,17.8
2020-04,22.5
2020-05,22.1
2020-06,18.6
2020-07,14.9
2020-08,5.4
2020-09,0.0
2020-10,0.0
2020-11,0.0
2020-12,5.3
2021-01,7.5
2021-02,12.8
2021-03,18.1
2021-04,20.6
2021-05,22.4
2021-06,17.9
